"AppName","InstalledVersion","LatestVersion","Website","Status"
"7-Zip 25.01 (x64 edition)","25.01","25.01","https://www.7-zip.org/","UpToDate"
"Adobe Acrobat Reader - 05-2025","05.0","25.1.21111","https://www.adobe.com/devnet-docs/acrobatetk/tools/ReleaseNotesDC/index.html","UpdateAvailable"
"Adobe Acrobat XI Pro","11.0.23","11.0.23","https://www.adobe.com/products/acrobat/readstep.html","Discontinued"
"Apache Directory Studio","2.0.0.M17","2.0.0.AM27","https://directory.apache.org/studio/download/","UpdateAvailable"
"Apache CFX","4.1.3","4.1.4","https://cxf.apache.org/download.html","UpdateAvailable"
"Apache JMeter","5.6.3","5.6.3","https://jmeter.apache.org/download_jmeter.cgi","UpToDate"
"Apache Kafka","3.6.1","4.01","https://kafka.apache.org/community/downloads/","UpdateAvailable"
"Maven Apache","3.9.10","3.9.12","https://maven.apache.org/download.cgi","UpdateAvailable"
"Netbeans IDE 26","26.0","28.0","https://netbeans.apache.org/download/index.html","UpdateAvailable"
"Appium Inspector","25.8.1","26.1.3","https://github.com/appium/appium-inspector","UpdateAvailable"
"Sourcetree Enterprise 3.4.16","3.4.16","3.4.28","https://www.sourcetreeapp.com/download-archives","UpdateAvailable"
"Design Review - 14.0.0.177","14.0.0.177","15.0.2.10","https://www.autodesk.com/products/design-review","UpdateAvailable"
"DWG True View - 31.1.122.0","31.1.122.0","2026.25.1.60","https://www.autodesk.com/products/dwg","UpdateAvailable"
"Bloomberg Terminal 180.4.81","180.4.81","180.4.81","https://www.bloomberg.com/professional/solution/bloomberg-terminal/","UpToDate"
"Bruno 3.0.2","3.0.2","3.0.2","https://www.usebruno.com/downloads","UpToDate"
"Cisco Jabber 14.3.0","14.03","15.2.0.60459","https://www.webex.com/downloads/jabber.html","UpdateAvailable"
"Webex","45.4.0.32158","46.1.0.33913","https://www.webex.com/downloads/webex-app.html","UpdateAvailable"
"Citrix Workspace app 2409","2409",,,"Unknown"
"Vysor 5.0.7","5.0.7","5.0.17","https://www.vysor.io/#download","UpdateAvailable"
"Cloudera ODBC Driver for Impala",,,"https://www.cloudera.com/downloads/connectors/impala/odbc/2-6-4.html","Unknown"
"Helm",,"4.01","https://helm.sh/","Unknown"
"Cygwin - 3.6.2","3.6.2",,"https://www.cygwin.com/","Unknown"
"Simba Spark ODBC Driver + Databricks",,,,"Unknown"
"Databrick CLI",,,,"Unknown"
"Dax Studio - 3.2.1","3.2.1",,,"Unknown"
"Dbeaver - 25.2.5","25.2.5","25.3.3","https://dbeaver.io/download/","UpdateAvailable"
"DBVisualizer - 24.1.1","24.1.1",,"https://www.dbvis.com/download/","Unknown"
".NET 8.0 Desktop Runtime (v8.0.20) x64","8.0","10.0.2","https://dotnet.microsoft.com/download","UpdateAvailable"
"Eclipse Temurin JDK with Hotspot 24.0.1+9 (x64)","24.0.1",,,"Unknown"
"Eclipse IDE",,,"https://www.eclipse.org/downloads/","Unknown"
"FFmpeg",,"8.0","https://ffmpeg.org/","Unknown"
"Figma",,,,"Unknown"
"Four Js Genero Desktop Client",,"5.01","https://4js.com/download/","Unknown"
"FreePlane",,,,"Unknown"
"Pdf24 Creator","24.0","11.29","https://tools.pdf24.org/en/creator","UpToDate"
"Gephi 0.10.1","0.10.1","0.10.1","https://gephi.org/","UpToDate"
"Gimp 3.0.4","3.0.4",,,"Unknown"
"GIT - 2.51.1","2.51.1","2.52","https://git-scm.com/","UpdateAvailable"
"Git Extensions 5.2.1","5.2.1",,,"Unknown"
"GitHub Desktop 3.4.18","3.4.18","2.52","https://git-scm.com/","UpToDate"
"Keystore Explorer",,,,"Unknown"
"JSON-Viewer (plugin for Notepad++)",,,,"Unknown"
"XMLTools (plugin for Notepad++)",,,,"Unknown"
"PDF Arranger",,,,"Unknown"
"Gitkraken 12.2.1","12.2.1","2.52","https://git-scm.com/","UpToDate"
"Android Studio - 2025.1.3.7","25.1.3.7",,"https://developer.android.com/studio/install","Unknown"
"Google Chrome 138.0.7204.184 - Remove 139","138.0.7204.184","145.0.7632.26","https://chromeenterprise.google/intl/pt_br/download/?modal-id=download-chrome","UpdateAvailable"
"TerraForm",,"1.14.4","https://www.terraform.io/downloads","Unknown"
"TerraForm 1.3.3 x86","1.3.3","1.14.4","https://www.terraform.io/downloads","UpdateAvailable"
"VSPlayer 7.5.3.1","7.5.3.1",,,"Unknown"
"Unigy(TM) Client",,,,"Unknown"
"Jabra Direct",,,,"Unknown"
"IntelliJ IDEA 2025.3.1.1","25.3.1.1",,"https://www.jetbrains.com/idea/download/","Unknown"
"IntelliJ IDEA Uninstall",,,"https://www.jetbrains.com/idea/download/","Unknown"
"Jetbrains-toolbox",,,,"Unknown"
"PyCharm Community",,,"https://www.jetbrains.com/pycharm/download/","Unknown"
"KeePassXC",,"2.7.11","https://keepassxc.org/","Unknown"
"LDAPAdmin - 1.8.3","1.8.3",,,"Unknown"
"HxD",,,,"Unknown"
"Microsoft Teams -11-2025","11.0",,,"Unknown"
"MS - Microsoft Visual C++ 2013 Redistributable","13",,,"Unknown"
"OneDrive - 25.189.0928.0002","25.189.0928.0002",,,"Unknown"
"Visual Studio BuildTools",,"26","https://visualstudio.microsoft.com/","Unknown"
"Microsoft Azure CLI (64-bit) - 2.81.0","64.0","2.82","https://learn.microsoft.com/cli/azure/install-azure-cli","UpToDate"
"Azure Functions Core Tools (x64)","64.0",,,"Unknown"
"Microsoft Azure PowerShell - April 2025","25",,,"Unknown"
"Azure Storage Explorer 1.38.0","1.38",,,"Unknown"
"PowerShell 7","7",,,"Unknown"
"SQL Management Studio 22","22.0",,,"Unknown"
"HEIF Image Extension",,,,"Unknown"
"HEVC Video Extension",,,,"Unknown"
"MongoDB Command Line Database Tools",,"8.2.4","https://www.mongodb.com/try/download/community","Unknown"
"MongoDB Compass",,"8.2.4","https://www.mongodb.com/try/download/community","Unknown"
"MongoDB Shell",,"8.2.4","https://www.mongodb.com/try/download/community","Unknown"
"Neo4j-community","4",,,"Unknown"
"Neo4j-Desktop","4",,,"Unknown"
"NotePad++ 8.9","8.9","8.9.1","https://notepad-plus-plus.org/downloads/","UpdateAvailable"
"ComparePlus (plugin for Notepad++) - 2.1.1","2.1.1",,,"Unknown"
"NVDA 2025.3.2","25.3.2",,,"Unknown"
"Obsidian",,"1.11.5","https://obsidian.md/","Unknown"
"Omnissa Horizon Client 8","8",,,"Unknown"
"Node.js - 25.4.0-X64","25.04","25.05","https://nodejs.org/","UpdateAvailable"
"OpenSSL 3.5.2 (64-bit)","3.5.2",,,"Unknown"
"Java SE Development Kit 8 Update 471 (64-bit)","8",,,"Unknown"
"Java(TM) SE Development Kit 17.0.17 (64-bit)","17.0.17",,,"Unknown"
"Java(TM) SE Development Kit 21.0.9 (64-bit)","21.0.9",,,"Unknown"
"Oracle Client",,,,"Unknown"
"Oracle SQL Developer 24.3.1.347.1826","24.3.1.347.1826",,,"Unknown"
"Smartview - 11.1.2.5.710","11.1.2.5.710",,,"Unknown"
"Outsystems Service Studio - 11.55.42.64376","11.55.42.64376",,,"Unknown"
"PGAdmin - 4-8.9","4","18.01","https://www.postgresql.org/download/","Unknown"
"RStudio",,,"https://posit.co/download/rstudio-desktop/","Unknown"
"Postgre ODBC",,,,"Unknown"
"Python - 3.14.0","3.14","3.14.2","https://www.python.org/downloads/","UpdateAvailable"
"RTools v45","45.0",,,"Unknown"
"Salesforce CLI - 2.108.6.0","2.108.6.0","6.0.16","https://developer.salesforce.com/tools/salesforcecli","UpdateAvailable"
"Simba Spark ODBC Driver",,,,"Unknown"
"Bravo for Power BI",,,,"Unknown"
"Tabular Editor",,,,"Unknown"
"Tesseract OCR - 5.5.0.20241111","5.5.0.20241111",,,"Unknown"
"SRV - Trend Micro Deep Security Agent",,,,"Unknown"
"Visual VM",,,,"Unknown"
"WinMerge",,"2.16.54","https://winmerge.org/","Unknown"
"Tagetik Excel .NET Client",,,,"Unknown"
"Aladdin by BlackRock (Prod)",,,,"Unknown"
"Autentica��o.Gov 3.13.0 (5496)","3.13",,,"Unknown"
"Gestimo",,,,"Unknown"
"GisUP - Fundos de Pens�es - Unidades de Participa��o",,,,"Unknown"
"JDAI - 52.49.0.0","52.49.0.0",,,"Unknown"
"JPG to SVG Free",,,,"Unknown"
"Mercury x64","64.0",,,"Unknown"
"Mercury x86","86.0",,,"Unknown"
"OffSetExplorer",,,,"Unknown"
"PAC 24.4.4.0","24.4.4.0",,,"Unknown"
"R",,,,"Unknown"
"Remove KB5074109","5074109",,,"Unknown"
"Remove Old Versions + Visual Studio Code - 1.108.1","1.108.1",,,"Unknown"
"Request Builder 7.1.3","7.1.3",,,"Unknown"
"SifoxDealv3","3",,,"Unknown"
"TranslatorX - 15.0(3)","15.0",,,"Unknown"
"VPN Profile - MFA",,,,"Unknown"
