"AppName","appversion","LatestVersion","Website","InstalledVersion","Status","License","SourceKey","SearchUrl","Observacao"
".NET 8.0 Desktop Runtime (v8.0.20) x64","v8.0.20 x64","10.0.2","https://dotnet.microsoft.com/download","8.0.20","UpdateAvailable","Licensed",".net","https://dotnetcli.blob.core.windows.net/dotnet/release-metadata/releases-index.json",
"7-Zip 25.01 (x64 edition)","25.01 (x64 edition)","25.01","https://www.7-zip.org/","25.01","UpToDate","Free","7zip","https://www.7-zip.org/download.html",
"Adobe Acrobat Reader - 05-2025","","25.1.21111","https://www.adobe.com/devnet-docs/acrobatetk/tools/ReleaseNotesDC/index.html","05.0","UpdateAvailable","Free","adobe acrobat reader update","https://community.chocolatey.org/api/v2/Packages()?$filter=Id%20eq%20'adobereader'%20and%20IsLatestVersion",
"Adobe Acrobat XI Pro","","11.0.23","https://www.adobe.com/products/acrobat/readstep.html",,"Discontinued","Licensed","adobe acrobat xi pro",,
"Aladdin by BlackRock (Prod)","",,,,"Unknown","licensed","aladdin by blackrock (prod)",,
"Android Studio - 2025.1.3.7","2025.1.3.7",,"https://developer.android.com/studio/install","25.1.3.7","Unknown","Free","android studio","https://developer.android.com/studio",
"Apache CFX","4.1.3","4.1.4","https://cxf.apache.org/download.html","4.1.3","UpdateAvailable","licensed","apache cxf","https://cxf.apache.org/download.html",
"Apache Directory Studio","2.0.0",,"https://directory.apache.org/studio/download/","2.00","Unknown","licensed","apache directory studio","https://mvnrepository.com/artifact/org.apache.directory.server/apacheds-parent",
"Apache JMeter","5.6.3","5.6.3","https://jmeter.apache.org/download_jmeter.cgi","5.6.3","UpToDate","licensed","apache jmeter","https://jmeter.apache.org/download_jmeter.cgi",
"Apache Kafka","3.6.1","4.01","https://kafka.apache.org/community/downloads/","3.6.1","UpdateAvailable","licensed","apache kafka","https://kafka.apache.org/community/downloads/",
"Appium Inspector","2025.8.1","26.1.3","https://github.com/appium/appium-inspector","25.8.1","UpdateAvailable","licensed","appium inspector","https://github.com/appium/appium-inspector/releases/latest",
"Autenticação.Gov 3.13.0 (5496)","",,,"3.13","Unknown","licensed","autenticação.gov",,
"Automate Agent 2023 (x64)","",,,"23","Unknown","licensed","automate agent",,
"Azure Functions Core Tools (x64)","4.3.0",,,"4.03","Unknown","licensed","azure functions core tools (x64)",,
"Azure Storage Explorer 1.38.0","1.38.0",,,"1.38","Unknown","licensed","azure storage explorer",,
"BIOS - HP Elite X2 G4 - 01.11.00 - Unattended","01.11.00",,,"1.11","Unknown","licensed","bios - hp elite x2 g4",,
"Bloomberg Terminal 180.4.81","180.4.81","180.4.81","https://www.bloomberg.com/professional/solution/bloomberg-terminal/","180.4.81","UpToDate","licensed","bloomberg terminal",,
"Blue Prism","7.2.1",,,"7.2.1","Unknown","licensed","blue prism",,
"Bravo for Power BI","1.0.9",,,"1.0.9","Unknown","licensed","bravo for power bi",,
"Bruno 3.0.2","3.0.2","3.0.2","https://www.usebruno.com/downloads","3.0.2","UpToDate","licensed","bruno","https://community.chocolatey.org/api/v2/Packages()?$filter=Id%20eq%20'bruno'%20and%20IsLatestVersion",
"Camera HP Elite X2 G4 - W11","v2",,,"2","Unknown","licensed","camera hp elite x2 g4 - w11",,
"Cisco Jabber 14.3.0","14.3.0","15.2.0.60459","https://www.webex.com/downloads/jabber.html","14.03","UpdateAvailable","Licensed","jabber",,
"Citrix Workspace app 2409","",,,"2409","Unknown","licensed","citrix workspace app",,
"Cloudera ODBC Driver for Impala","",,"https://www.cloudera.com/downloads/connectors/impala/odbc/2-6-4.html",,"Unknown","licensed","cloudera odbc driver for impala","https://community.chocolatey.org/api/v2/Packages()?$filter=Id%20eq%20%27cloudera-odbc-driver-for-impala%27%20and%20IsLatestVersion",
"ComparePlus (plugin for Notepad++) - 2.1.1","2.1.1",,,"2.1.1","Unknown","licensed","compareplus (plugin for notepad++)",,
"CrowdStrike 7.15.18511 - WKS e SRV PRO","",,,"7.15.18511","Unknown","licensed","crowdstrike",,
"Cygwin - 3.6.2","3.6.2",,"https://www.cygwin.com/","3.6.2","Unknown","Free","cygwin","https://community.chocolatey.org/api/v2/Packages()?$filter=Id%20eq%20'cygwin'%20and%20IsLatestVersion",
"Databrick CLI","0.260.0",,,"0.260","Unknown","licensed","databrick cli",,
"Dax Studio - 3.2.1","3.2.1",,,"3.2.1","Unknown","licensed","dax studio",,
"Four Js Genero Desktop Client","3.10.23","5.01","https://4js.com/download/","3.10.23","UpdateAvailable","licensed","four js genero desktop client","https://4js.com/online_documentation/fjs-genero-manual-install-html/genero-install-topics/c_gdc_install.html",
"FreePlane","1.12.8",,,"1.12.8","Unknown","Free","freeplane","https://github.com/freeplane/freeplane/releases/latest",
"Gephi 0.10.1","0.10.1","0.10.1","https://gephi.org/","0.10.1","UpToDate","Free","gephi","https://community.chocolatey.org/api/v2/Packages()?$filter=Id%20eq%20'gephi'%20and%20IsLatestVersion",
"Gimp 3.0.4","3.0.4",,,"3.0.4","Unknown","Free","gimp","https://github.com/GNOME/gimp/releases/latest",
"GIT - 2.51.1","2.51.1","2.53","https://git-scm.com/","2.51.1","UpdateAvailable","Free","git","https://community.chocolatey.org/api/v2/Packages()?$filter=Id%20eq%20'git'%20and%20IsLatestVersion",
"Git Extensions 5.2.1","",,,"5.2.1","Unknown","licensed","git extensions",,
"Google Chrome 138.0.7204.184","","145.0.7632.46","https://chromeenterprise.google/intl/pt_br/download/?modal-id=download-chrome","138.0.7204.184","UpdateAvailable","Free","google chrome","https://googlechromelabs.github.io/chrome-for-testing/",
"HxD","",,,,"Unknown","licensed","hxd",,
"IntelliJ IDEA 2025.3.1.1","2025.3.1.1","25.3.2","https://www.jetbrains.com/idea/download/","25.3.1.1","UpdateAvailable","Licensed","intellij idea","https://data.services.jetbrains.com/products/releases?code=IIU&latest=true&type=release",
"Java SE Development Kit 8 Update 471 (64-bit)","8 Update 471 (64-bit)",,,"8","Unknown","licensed","java se development kit",,
"Java(TM) SE Development Kit 17.0.17 (64-bit)","17.0.17 (64-bit)",,,"17.0.17","Unknown","licensed","java(tm) se development kit",,
"Jetbrains-toolbox","2.6.2.41321",,,"2.6.2.41321","Unknown","licensed","jetbrains-toolbox",,
"JPG to SVG Free","1.0.0.0",,,"1.0.0.0","Unknown","licensed","jpg to svg free",,
"JSON-Viewer (plugin for Notepad++)","2.0.7.0",,,"2.0.7.0","Unknown","licensed","json-viewer (plugin for notepad++)",,
"KeePassXC","2.7.9","2.7.11","https://keepassxc.org/","2.7.9","UpdateAvailable","Free","keepassxc","https://github.com/keepassxreboot/keepassxc/releases/latest",
"Keystore Explorer","5.6.0",,,"5.06","Unknown","licensed","keystore explorer",,
"LDAPAdmin - 1.8.3","1.8.3",,,"1.8.3","Unknown","licensed","ldapadmin",,
"Node.js - 25.5.0-X64","25.5.0","25.6.0","https://nodejs.org/","25.5.0","UpdateAvailable","Free","node.js","https://github.com/nodejs/node/releases/latest",
"NotePad++ 8.9","8.9","8.9.1","https://notepad-plus-plus.org/downloads/","8.9","UpdateAvailable","Free","notepad++","https://github.com/notepad-plus-plus/notepad-plus-plus/releases/latest",
