System_Name3,Version2,ADGRoup2,Collection2,CollectionType
.NET 4.6.1 Developer,4.6.1,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
.NET 4.8.1 Developer,4.8.1,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
.NET 8.0 Desktop Runtime (v8.0.20) x64,v8.0.20 x64,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
7-Zip 03-2026,26.00,,USR - SFT - ALL USERS(Rede e Central),User
Adobe Acrobat Reader - 05-2025,25.001.20467,,All Users,User
Adobe Acrobat Reader - 05-2025,25.001.20467,,USR - SFT - STAGING,User
Adobe Acrobat XI Pro,,CENTRAL\GGA-APP-ACROBAT11PRO,USR - SFT - ACROBAT 11 PRO,User
Aladdin by BlackRock (Prod),,CENTRAL\GGA-APP-ALADDIN,USR - SFT - ALADDIN,User
Android Studio 04-2026,2025.3.4.6,CENTRAL\GGA-APP-ANDROID_STUDIO,USR - SFT - ANDROID STUDIO,User
Apache CXF 03-2026,4.2.0,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Apache Directory Studio,2.0.0,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Apache JMeter,5.6.3,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Apache Kafka,3.6.1,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Appium Inspector,2025.8.1,CENTRAL\GGA-APP-APPIUM,USR - SFT - APPIUM,User
Autenticação.Gov 3.14.0 (5945),3.14.0,,All Users,User
Automate Agent 2023 (x64),,CENTRAL\GGA-APP-AUTOMATE23,USR - SFT - AUTOMATE23,User
Azure Functions Core Tools (x64),4.3.0,CENTRAL\GGA-APP-CloudPT Team,USR - SFT - Cloud PT,User
Azure Storage Explorer 1.38.0,1.38.0,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
BIOS - HP Elite X2 G4 - 01.11.00 - Unattended,01.11.00,,SFT - BIOS - EliteBook 840 G8 - 01.11.00,Device
Bloomberg Terminal 180.4.81,180.4.81,CENTRAL\GGA-APP-BLOOMBERG,USR - SFT - BLOOMBERG,User
Blue Prism,7.2.1,CENTRAL\BP_Developer_DEV,USR - SFT - BLUE PRISM,User
Bravo for Power BI,1.0.9,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Bruno  03-2026,3.2.0,CENTRAL\GGA-APP-BRUNO,USR - SFT - BRUNO,User
Bruno  03-2026,3.2.0,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Camera HP Elite X2 G4 - W11,v2,,Camera - HP Elite X2 G4 - Available,Device
Cisco Jabber 14.3.0,14.3.0,,USR - SFT - JABBER UK,User
Cisco Secure Client - 5.1.9.113 - Script,5.1.9.113,,All Systems & Unknown Computers,Device
Citrix Workspace app 2409,,,All Users,User
Cloudera ODBC Driver for Impala,,CENTRAL\GGA-APP-CLOUDERAIMPALA,USR - SFT - CLOUDERA IMPALA,User
Cloudera ODBC Driver for Impala,,,WKS - SFT - Cloudera Impala,Device
ComparePlus (plugin for Notepad++) - 2.1.1,2.1.1,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
CrowdStrike 7.15.18511 - WKS e SRV PRO,,,All Servers,Device
