"AppName","appversion","LatestVersion","Website","InstalledVersion","Status","License","SourceKey","SearchUrl","Observacao","IsNewVersion","SourceId","IconUrl","TipoApp","IsDeleted"
".NET 4.6.1 Developer","4.6.1","10.0.7","https://dotnet.microsoft.com/download","4.6.1","UpdateAvailable","Free",".net 4.6.1",,,"False",,,"app comercial","True"
".NET 4.8.1 Developer","4.8.1","10.0.7","https://dotnet.microsoft.com/download","4.8.1","UpdateAvailable","Free",".net 4.8.1",,,"False",,,"app comercial","True"
".NET 8.0 Desktop Runtime (v8.0.20) x64","v8.0.20 x64","10.0.7","https://dotnet.microsoft.com/download","8.0.20","UpdateAvailable","Free",".net 8.0",,,"False",,,"app comercial","True"
"7-Zip 03-2026","26.00","26.01","http://www.7-zip.org/","26.00","UpdateAvailable","Free","7-zip",,,"False","7-Zip","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=7-Zip","app comercial","False"
"Adobe Acrobat Reader - 05-2025","25.001.20467","25.001.21223","https://www.adobe.com/acrobat/free-trial-download.html","25.001.20467","UpdateAvailable","Free","adobe acrobat reader",,,"False",,"https://www.adobe.com/favicon.ico","app comercial","True"
"Adobe Acrobat XI Pro","","11.0.23","https://www.adobe.com/products/acrobat/readstep.html",,"UpdateAvailable","Licensed","adobe acrobat xi pro",,,"False",,,"app comercial","True"
"Aladdin by BlackRock (Prod)","",,,,"Unknown","Free","aladdin by blackrock (prod)",,,"False",,,"app comercial","True"
"Android Studio 04-2026","2025.3.4.6","2025.3.4","https://developer.android.com/studio/releases","2025.3.4","UpToDate","Free","android studio","https://developer.android.com/studio/releases",,"False",,"https://developer.android.com/favicon.ico","app comercial","False"
"Apache CXF 03-2026","4.2.0","4.2.0","https://cxf.apache.org/download.html","4.2.0","UpToDate","Free","apache cxf","https://cxf.apache.org/download.html",,"False",,"https://cxf.apache.org/favicon.ico","app comercial","False"
"Apache Directory Studio","2.0.0","2.0.0","https://directory.apache.org/studio/download/","2.0.0","UpToDate","Free","apache directory studio",,,"False",,,"app comercial","False"
"Apache JMeter","5.6.3","5.6.3","https://jmeter.apache.org/download_jmeter.cgi","5.6.3","UpToDate","Free","apache jmeter","https://jmeter.apache.org/download_jmeter.cgi",,"False",,,"app comercial","False"
"Apache Kafka","3.6.1","4.2.0","https://kafka.apache.org/community/downloads/","3.6.1","UpdateAvailable","Free","apache kafka","https://kafka.apache.org/community/downloads/",,"False",,,"app comercial","False"
"Appium Inspector","2025.8.1","2026.5.1","https://github.com/appium/appium-inspector","2025.8.1","UpdateAvailable","Free","appium inspector","https://github.com/appium/appium-inspector/releases/latest",,"True",,"https://raw.githubusercontent.com/appium/appium-inspector/main/app/common/renderer/assets/images/icon.png","app comercial","False"
"Autenticação.Gov 3.14.0 (5945)","3.14.0","3.14","https://www.autenticacao.gov.pt/cc-aplicacao","3.14.0","UpToDate","Free","autenticação.gov","https://www.autenticacao.gov.pt/cc-aplicacao",,"False",,"https://www.autenticacao.gov.pt/favicon.ico","app comercial","False"
"Automate Agent 2023 (x64)","",,,"23","Unknown","Free","automate agent",,,"False",,,"app comercial","True"
"Azure Functions Core Tools (x64)","4.3.0","4.9.0","https://docs.microsoft.com/en-us/azure/azure-functions/functions-run-local?tabs=windows%2Ccsharp%2Cbash#v2","4.3.0","UpdateAvailable","Free","azure functions core tools (x64)",,,"False","Azure Functions Core Tools","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=Azure Functions Core Tools","app comercial","False"
"Azure Storage Explorer 1.38.0","1.38.0","1.43.0","https://azure.microsoft.com/en-us/features/storage-explorer/","1.38.0","UpdateAvailable","Free","azure storage explorer",,,"False","StorageExplorer","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=StorageExplorer","app comercial","False"
"BIOS - HP Elite X2 G4 - 01.11.00 - Unattended","01.11.00",,,"01.11.00","Unknown","Free","bios - hp elite x2 g4",,,"False",,,"app comercial","True"
"Bloomberg Terminal 180.4.81","180.4.81","189.3.81","https://www.bloomberg.com/professional/support/documentation/release-notes/","180.4.81","UpdateAvailable","Free","bloomberg terminal",,,"False",,"https://www.bloomberg.com/favicon.ico","app comercial","False"
"Blue Prism","7.2.1","7.4.2","https://documentation.blueprism.com/bp-7-4/en-us/release-notes/rn-home.htm","7.2.1","UpdateAvailable","Free","blue prism","https://documentation.blueprism.com/bp-7-4/en-us/release-notes/rn-home.htm",,"False",,"https://www.blueprism.com/favicon.ico","app comercial","False"
"Bravo for Power BI","1.0.9","1.0.13","https://www.sqlbi.com/tools/bravo-for-power-bi/","1.0.9","UpdateAvailable","Free","bravo for power bi","https://github.com/sql-bi/Bravo/releases/latest",,"False",,"https://www.sqlbi.com/favicon.ico","app comercial","False"
"Bruno 04-2026","3.3.0","3.3.0","https://www.usebruno.com/downloads","3.3.0","UpToDate","Free","bruno","https://github.com/usebruno/bruno/releases/latest",,"False",,,"app comercial","False"
"Camera HP Elite X2 G4 - W11","v2",,,"2","Unknown","Free","camera hp elite x2 g4 - w11",,,"False",,,"app comercial","True"
"Cisco Jabber 14.3.0","14.3.0","15.2.1.60627","http://www.cisco.com/","14.3.0","UpdateAvailable","Free","cisco jabber",,,"False","Cisco Jabber","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=Cisco Jabber","app comercial","False"
"Cisco Secure Client - 5.1.9.113 - Script","5.1.9.113","5.1.15.287","https://www.cisco.com/c/en/us/support/security/anyconnect-secure-mobility-client/series.html","5.1.9.113","UpdateAvailable","Free","cisco secure client",,,"False",,"https://www.cisco.com/favicon.ico","app comercial","False"
"Citrix Workspace app 2409","","25.11.10.50","https://www.citrix.co.uk/downloads/workspace-app/windows/workspace-app-for-windows-latest.html","2409","UpdateAvailable","Free","citrix workspace app",,,"False","Citrix Workspace","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=Citrix Workspace","app comercial","False"
"Cloudera ODBC Driver for Impala","","2.9.2","https://www.cloudera.com/downloads/connectors/impala/odbc.html",,"UpdateAvailable","Free","cloudera odbc driver for impala","https://www.cloudera.com/downloads/connectors/impala/odbc.html",,"False",,,"app comercial","False"
"ComparePlus (plugin for Notepad++) - 2.1.1","2.1.1","2.2.0","https://github.com/pnedev/comparePlus","2.1.1","UpdateAvailable","Free","compareplus (plugin for notepad++)","https://github.com/pnedev/comparePlus/releases/latest",,"False",,,"app comercial","False"
"CrowdStrike 7.15.18511 - WKS e SRV PRO","","7.15.18511","https://www.crowdstrike.com/en-us/products/faq/","7.15.18511","UpToDate","Licensed","crowdstrike",,,"False",,,"app comercial","False"
"Cygwin - 3.6.2","3.6.2","3.6.9","https://www.cygwin.com/","3.6.2","UpdateAvailable","Free","cygwin","https://community.chocolatey.org/packages/cygwin",,"False",,,"app comercial","False"
